,ID,Відправлення,Прибуття,Маса,Обєм,Відстань,Вартість,Спосіб,Безготівковий,ПДВ,Час,Транспорт
5243,415679539,Луцьк,Одеса,0.3,12.0,761.81,3600.0,1.0,0,0,1,Тент
5244,413192025,Сарни,Київ,23.0,12.0,308.09,8500.0,1.0,0,0,1,Самоскид
5245,414971667,Градениці,Долинська,15.0,100.0,383.31,12750.0,0.0,0,0,1,Бортова/Відкрита
5246,415679543,Ромни,Сєвєродонецьк,4.5,7.0,568.03,7000.0,1.0,0,0,1,Крита
5247,415679545,Верба,Бахмут (Артемівськ),45.0,45.0,608.45,10170.0,1.0,0,0,0,Крита
5248,415677789,Солоницівка,Лозова,22.0,36.0,147.97,4000.0,0.0,0,0,0,Тент
5249,415663179,Чорноморськ (Іллічівськ),Полтава,22.0,30.0,595.15,10000.0,0.0,0,0,1,Тент
5250,415671793,Гайворон,Нова Каховка,22.0,86.0,398.65,9500.0,1.0,0,0,1,Тент
5251,413396593,Чернівці,Херсон,0.2,2.0,686.81,1200.0,1.0,0,0,1,Крита
5252,415679563,Суми,Бердянськ,1.5,2.0,611.78,2000.0,1.0,0,0,1,Крита
5253,415357629,Чернігів,Київ,10.0,12.0,140.96,3600.0,1.0,0,0,1,Крита
5254,415456629,Чернігів,Дніпро,15.0,15.0,581.34,2000.0,1.0,0,0,1,Тент
5255,414542477,Чорнобай,Зачепилівка,90.0,120.0,272.11,8500.0,0.0,0,0,1,Тент
5256,415638857,Вижниця,Кривий Ріг,22.0,86.0,722.39,15000.0,1.0,0,0,1,Тент
5257,415638801,Івано-Франківськ,Куражин,55.0,50.0,256.29,5500.0,1.0,0,0,0,Тент
5258,413620771,Вижниця,Дніпро,20.0,86.0,848.78,17000.0,1.0,0,0,0,Тент
5259,415365417,Прилуки,Житомир,120.0,3.0,288.73,2000.0,1.0,0,0,0,Тент
5260,415677843,Шепетівка,Київ,22.0,56.0,293.31,8000.0,1.0,0,0,1,Тент
5261,413620489,Вижниця,Дніпро,20.0,86.0,848.78,17000.0,1.0,0,0,0,Реф.
5262,415672071,Шепетівка,Київ,22.0,56.0,293.31,8000.0,1.0,0,0,1,Тент
5263,415675481,Одеса,Запоріжжя,0.1,2.0,462.03,1000.0,1.0,0,0,0,Крита
5264,415672085,Харків,Миколаїв,0.8,25.0,550.34,3500.0,1.0,0,0,1,Тент
5265,415674969,Сарни,Новоград-Волинський,12.0,20.0,146.33,4400.0,0.0,0,0,0,Тент
5266,415674259,Запоріжжя,Кам’янське (Дніпродзержинськ),22.0,86.0,106.57,3000.0,0.0,0,0,1,Тент
5267,415672117,Новоград-Волинський,Дніпро,4.5,8.0,695.93,6000.0,1.0,0,0,1,Крита
5268,415672145,Шепетівка,Краматорськ,22.0,56.0,935.35,20000.0,1.0,0,0,1,Тент
5269,413471937,Решетилівка,Новомосковськ,86.0,86.0,152.91,3800.0,1.0,0,0,0,Тент
5270,415677879,Одеса,Розсошенці,22.0,85.0,568.05,13500.0,0.0,0,0,0,Тент
5271,415677889,Горохів,Одеса,22.0,56.0,812.78,16500.0,1.0,0,0,1,Тент
5272,413215567,Жашків,Кривий Ріг,25.0,60.0,343.95,800.0,0.0,0,0,1,Самоскид
5273,415672195,Шепетівка,Умань,22.0,56.0,350.39,9500.0,1.0,0,0,1,Тент
5274,411749477,Конотоп,Кривий Ріг,25.0,60.0,445.56,1100.0,0.0,0,0,1,Самоскид
5275,412483205,Решетилівка,Кам’янське (Дніпродзержинськ),86.0,86.0,151.39,3500.0,1.0,0,0,0,Тент
5276,415677903,Одеса,Розсошенці,21.9,85.0,568.05,15000.0,1.0,1,1,0,Тент
5277,415672293,Шепетівка,Миколаїв,22.0,56.0,621.66,13000.0,1.0,0,0,1,Тент
5278,412258543,Решетилівка,Дніпро,86.0,86.0,169.48,3500.0,1.0,0,0,0,Тент
5279,415668651,Ічня,Рівне,13.0,85.0,485.59,9000.0,1.0,0,0,1,Крита
5280,415672361,Шепетівка,Кривий Ріг,22.0,56.0,632.78,13000.0,1.0,0,0,1,Тент
5281,415664035,Дубровиця,Червона Гірка,23.0,70.0,296.81,10000.0,1.0,0,0,1,Самоскид
5282,415232367,Корець,Попільня,22.0,80.0,193.14,5000.0,1.0,0,0,1,Крита
5283,415678971,Дніпро,Івано-Франківськ,2.4,18.0,909.42,6000.0,0.0,0,0,0,Крита
5284,415462673,Золотоноша,Чорноморськ (Іллічівськ),25.0,50.0,506.23,16250.0,0.0,0,0,1,Тент
5285,415463041,Золотоноша,Миколаїв,25.0,50.0,349.18,15000.0,0.0,0,0,1,Тент
5286,415658279,Хмельницький,Доброгорща,30.0,30.0,33.2,1000.0,1.0,0,0,0,Тент
5287,415637005,Ічня,Рівне,12.5,82.0,485.59,9000.0,1.0,0,0,1,Крита
5288,415637183,Знобь-Новгородське,Суми,22.0,30.0,229.61,8000.0,1.0,0,0,1,Тент
5289,415679613,Лугини,Боярка,20.0,20.0,181.22,6500.0,1.0,0,0,1,Тент
5290,415448131,Боровиця,Долинська,16.0,100.0,172.61,8800.0,0.0,0,0,0,Зерновоз
5291,415448729,Воронівка,Долинська,16.0,100.0,199.44,9600.0,0.0,0,0,0,Зерновоз
5292,415677981,Кременчук,Київ,15.0,92.0,289.45,5000.0,1.0,0,0,1,Тент
5293,390821920,Коцюбинське,Бердичів,22.0,86.0,172.8,3500.0,0.0,0,0,0,Тент
5294,413813749,Олевськ,Одеса,22.0,29.0,693.05,14000.0,0.0,0,0,0,Тент
5295,415661627,Краматорськ,Генічеськ,22.0,81.0,432.66,9500.0,0.0,0,0,1,Тент
5296,415660659,Краматорськ,Херсон,22.0,82.0,583.42,12000.0,0.0,0,0,1,Тент
5297,415661755,Краматорськ,Нікополь,22.0,82.0,473.43,10000.0,0.0,0,0,1,Тент
5298,415669079,Березань,Дніпро,40.0,40.0,405.63,6000.0,1.0,0,0,1,Тент
5299,415601535,Запоріжжя,Нова Каховка,1.1,2.0,226.8,2500.0,1.0,0,0,1,Тент
5300,415669041,Запоріжжя,Солоне,13.0,95.0,58.09,4550.0,0.0,0,0,1,Зерновоз
5301,415597607,Одеса,Бориспіль,86.0,86.0,500.81,10000.0,1.0,1,1,0,Крита
5302,415421089,Новомиргород,Южне,25.0,92.0,332.0,1300.0,0.0,0,0,1,Самоскид
5303,415669475,Шепетівка,Краматорськ,22.0,56.0,935.35,19100.0,1.0,0,0,1,Тент
5304,415669367,Чорноморськ (Іллічівськ),Новомосковськ,15.0,100.0,520.48,15000.0,0.0,0,0,1,Зерновоз
5305,415678725,Березань,Кам’янське (Дніпродзержинськ),25.0,15.0,387.55,1100.0,1.0,0,0,1,Крита
5306,415675551,Любомль,Шаргород,22.0,86.0,497.39,13500.0,1.0,1,1,0,Тент
5307,415679637,Лугини,Боярка,20.0,20.0,181.22,6500.0,1.0,0,0,0,Тент
5308,415678121,Єльне,Рівне,30.0,30.0,143.3,2300.0,1.0,0,0,1,Крита
5309,415669647,Березне,Одеса,22.0,40.0,0.0,10500.0,1.0,0,0,1,Контейнер
5310,412911731,Куп'янськ,Дергачі,13.0,60.0,138.35,6000.0,1.0,0,0,1,Самоскид
